postcode,nitrate
27628,240.33333333333334
31603,175.0
38459,159.25
49824,148.89499999999998
38690,148.33333333333334
26835,141.6
38442,140.75
29614,137.0
31228,128.0
49681,128.0
21258,115.0
38124,115.0
27333,115.0
21629,110.0
27252,107.68800000000002
21643,103.0
49811,102.0
27356,102.0
31234,101.3
29565,100.83333333333333
26219,99.94
26180,99.72
31226,96.16666666666667
21702,94.76666666666667
38176,94.275
48499,93.0
27245,91.22
26197,88.5
21435,85.25
27248,79.7
48465,79.7
49577,79.27999999999999
49843,78.9448275862069
27232,77.50666666666667
21717,76.80000000000001
27243,75.3
31621,70.9
38542,70.8
27624,70.45
31311,68.6
26605,67.8
49429,67.16666666666667
27386,66.55
38165,66.4
38368,64.80000000000001
38120,62.575
49401,60.5225
26901,60.22
31619,59.75
29488,59.38666666666666
31558,58.053333333333335
27476,58.0
38704,57.56666666666666
49740,56.541666666666664
21649,55.36666666666667
49828,54.900000000000006
37620,54.6
49696,53.660000000000004
49191,53.0
27211,52.573333333333345
49134,52.0
30966,52.0
28857,51.71333333333333
37130,51.0
27404,49.98499999999999
27607,49.36000000000001
38179,48.7
49143,48.06666666666666
21255,47.8
21646,47.6
49356,44.626666666666665
49179,44.626666666666665
49688,44.3
38518,43.30857142857143
31749,42.2
27313,42.1
49661,40.81
37133,40.0
31020,39.38799999999999
49847,38.5
49201,38.0
49377,37.87
49413,37.7
21271,36.0
21640,33.0
27616,32.1
21644,31.4
31535,31.006923076923076
31860,30.100000000000005
28832,29.2
29394,28.33
31303,28.08
37642,28.0
49205,28.0
37197,27.399999999999995
49170,26.25
26899,25.2
48455,24.4
30938,23.655
21279,23.299999999999997
31135,23.0
37191,22.3
49080,21.7
38239,21.4
21769,21.259999999999998
49774,21.2
38729,20.957142857142856
37434,20.422222222222224
38324,20.240000000000002
31167,20.0
29643,19.92
21391,19.104444444444443
27412,18.393333333333334
49324,17.770000000000003
37120,17.7
31039,17.0
31073,17.0
49626,16.15
38723,16.0
27389,15.069999999999999
31089,15.0
21789,14.680000000000001
49434,14.62
38315,12.704285714285714
27798,12.615
49326,12.5
49176,12.0
49565,11.549999999999999
49832,11.533333333333331
49124,11.475
38173,11.0
49624,10.773333333333333
49328,10.469999999999999
27367,10.2
31855,9.74
34355,9.74
26845,9.16
37136,9.090000000000002
31275,9.076666666666666
26441,8.93
31812,8.876666666666667
0,8.860000000000001
49733,8.85
37139,8.41
26345,8.409999999999998
37520,7.97
31246,7.53
38707,7.465
37186,7.086666666666667
37075,7.080000000000001
26817,7.08
27729,7.08
37581,6.0
31091,6.0
31840,5.9
27777,5.9
31848,5.854
29393,5.76
31636,5.76
49448,5.31
37639,5.31
37194,5.31
29365,4.87
29640,4.590000000000001
38667,4.533333333333333
21218,4.25
31632,4.205
49685,3.99
26409,3.2155555555555546
26969,3.0999999999999996
38448,3.0
38446,3.0
26169,2.803333333333334
26571,2.8000000000000003
29345,2.61
26487,2.215
49635,2.21
27478,2.04
21217,2.0
37647,2.0
26954,2.0
38524,1.95
27801,1.945
29358,1.77
26548,1.4
21385,1.3499999999999999
49593,1.33
49456,1.33
30890,1.1
48488,1.0
26465,1.0
49152,1.0
49716,0.73
29378,0.685
49744,0.55
29473,0.50125
21423,0.5
27804,0.49000000000000005
26188,0.44
49406,0.44
49757,0.44
26160,0.44
49219,0.44
26655,0.44
26215,0.44
49163,0.44
26316,0.44
26340,0.44
49599,0.44
21400,0.44
26388,0.44
21723,0.44
49777,0.44
49424,0.44
29646,0.44
26871,0.44
38551,0.44
28870,0.44
29308,0.44
29331,0.44
29361,0.44
29459,0.44
29475,0.44
29482,0.44
29484,0.44
29683,0.44
29494,0.44
29556,0.44
29664,0.44
29571,0.44
29578,0.44
29649,0.44
28865,0.44
30952,0.44
31088,0.44
31637,0.44
26919,0.44
27305,0.44
27318,0.44
27793,0.44
27374,0.44
27321,0.44
31604,0.44
31595,0.44
27619,0.44
31552,0.44
27711,0.44
49453,0.44
21379,0.4391666666666667
49838,0.39111111111111113
49835,0.3666666666666667
21785,0.36000000000000004
48480,0.33666666666666667
26909,0.33
26939,0.2455555555555556
26826,0.23399999999999999
26725,0.22000000000000003
26736,0.22
26907,0.22
26831,0.22
26759,0.22
49849,0.22
26632,0.22
26553,0.22
26529,0.22
26446,0.22
26133,0.1
21775,0.095
27751,0.05
21376,0.04
21765,0.02
27442,0.02
21710,0.02
