postcode,nitrate
27628,182.0
49824,179.72000000000003
27404,158.0
48499,155.0
31228,146.0
38442,137.0
31303,129.0
38459,128.0
38124,115.0
48465,111.0
31234,108.66000000000001
31603,107.76999999999998
49681,107.7
29488,106.37600000000002
21717,103.35
38690,101.195
31226,97.4
29565,94.76666666666667
38176,94.2
21640,94.0
38542,93.0
27333,93.0
27383,89.725
21702,89.5
27245,87.8425
27248,84.1
27386,80.15
29614,77.176
29386,76.225
27721,75.3
21279,75.03333333333333
49847,74.625
49696,72.6
38120,70.8
21643,70.675
49843,70.1092
29348,69.725
38179,66.4
38368,66.4
29399,66.0
38527,66.0
29367,64.0
27232,63.794285714285714
49577,63.533333333333324
31595,62.22
31311,62.0
26605,61.2
27389,60.22
49777,60.22
31789,58.760000000000005
29378,57.763999999999996
30539,55.86666666666667
26180,53.22
30559,52.3
49429,51.77499999999999
49828,51.665000000000006
38165,48.7
27308,48.7
26901,46.72
49191,46.25
30938,46.11
26219,45.4
27607,44.97
26835,44.46142857142853
29699,44.0
31621,43.5
49356,43.46333333333333
31619,43.4
27211,43.31333333333333
26441,43.269999999999996
49143,42.56666666666666
49401,41.85833333333333
21644,40.7
29394,40.308571428571426
26899,40.3
49661,39.67499999999998
49134,39.333333333333336
48455,38.333333333333336
49740,38.15111111111111
21646,37.4
49377,37.4
29303,36.92
31860,36.7
31535,36.29333333333333
49201,36.0
21789,35.482000000000006
31246,35.0
49811,33.63333333333333
49179,30.83333333333334
28857,30.813333333333333
38464,30.0
27356,29.793333333333333
37197,29.599999999999998
49451,28.8
29683,28.313333333333333
21391,28.237142857142853
37130,28.0
37079,28.0
37124,28.0
49419,27.9
49205,27.666666666666668
49688,27.2
27305,26.968571428571426
31737,25.600000000000005
37434,25.25
38324,25.20909090909091
27616,24.513333333333332
49626,24.44
49774,23.5
31020,22.85
37539,22.549999999999997
31749,22.4
28832,22.1
49170,21.02
37127,21.0
21271,21.0
27476,20.4
37191,20.4
30175,20.0
37176,19.9
49832,19.493333333333332
31812,19.3
37120,19.049999999999997
31840,18.666666666666668
30519,18.45
38104,17.91
38239,17.7
29633,17.3
37697,17.3
49448,17.3
26817,17.065454545454543
49324,17.03
49326,16.868571428571425
29643,16.82
49080,16.8
29345,16.796
34355,16.400000000000002
49424,15.316666666666668
27711,14.783999999999997
31039,14.3
27367,14.169999999999998
31157,14.0
49176,14.0
31135,13.4
21769,13.339999999999998
34346,13.333333333333334
49328,12.933333333333332
49393,12.149999999999999
31855,12.0
27777,11.1
29328,10.946666666666667
31073,10.6
27313,10.026666666666666
27412,9.96
38173,9.9
37431,9.35
37170,9.3
29365,9.3
49733,8.85
49124,8.833333333333334
31089,8.6
37520,8.232857142857142
27798,8.165
29361,7.97
37075,7.08
31636,7.08
29640,6.481538461538461
31188,6.2
29393,6.2
37194,6.2
28790,6.169999999999999
37603,6.133333333333334
49624,6.066666666666666
31091,6.0
0,5.57
38315,5.538461538461538
26845,5.361999999999999
38154,5.0
49593,4.87
49565,4.720000000000001
49744,4.285714285714286
31632,3.985
37139,3.98
38524,3.1500000000000004
21400,3.0699999999999994
31655,3.0
27478,2.92
21256,2.9
37589,2.8925
26345,2.8333333333333335
27336,2.7
26548,2.5
26571,2.5
27259,2.27
48480,2.21
38536,2.164285714285714
49434,2.148
38518,2.083333333333333
49413,2.034545454545454
31683,2.0
37647,2.0
26969,1.9459999999999997
29494,1.831428571428571
29587,1.7700000000000002
27804,1.77
26529,1.525
21385,1.5180000000000002
27729,1.24
21785,1.18
27801,1.1500000000000001
38471,1.012
49152,1.0
26465,1.0
30890,1.0
31171,0.726
31604,0.7
29358,0.7
49456,0.6399999999999999
38470,0.6233333333333334
21272,0.5850000000000001
21436,0.5216666666666667
49835,0.5127272727272727
26169,0.5000000000000001
38528,0.5
38539,0.5
38553,0.5
38554,0.5
29396,0.5
38364,0.48
38468,0.48
38112,0.48
29379,0.48
29473,0.45125
21379,0.4400000000000001
31637,0.44000000000000006
28870,0.44000000000000006
29459,0.44000000000000006
29556,0.44000000000000006
29578,0.44000000000000006
26655,0.44
49406,0.44
26188,0.44
26388,0.44
49453,0.44
26215,0.44
26160,0.44
21770,0.44
21765,0.44
21723,0.44
49716,0.44
49757,0.44
49762,0.44
49838,0.44
26871,0.44
27252,0.44
26907,0.44
27318,0.44
27327,0.44
27339,0.44
27374,0.44
27793,0.44
28816,0.44
31622,0.44
28865,0.44
29223,0.44
31547,0.44
29308,0.44
29320,0.44
29331,0.44
31088,0.44
29693,0.44
29690,0.44
29664,0.44
29649,0.44
29475,0.44
29482,0.44
29484,0.44
29646,0.44
27321,0.44
27337,0.44
49849,0.44
48527,0.44
26909,0.44
26919,0.44
38551,0.44
27299,0.44
26939,0.44
27283,0.44
29571,0.44
49599,0.4
26683,0.4
26676,0.4
49635,0.4
49699,0.4
49219,0.4
49163,0.4
30419,0.3
30455,0.3
30659,0.3
30173,0.24666666666666667
26759,0.22
26810,0.22
26487,0.22
21710,0.22
26725,0.22
21775,0.22
26632,0.22
26624,0.22
26553,0.22
26532,0.22
26409,0.22
26506,0.22
26736,0.22
26831,0.21600000000000003
26446,0.215
26826,0.21333333333333335
