postcode,nitrate
27628,221.0
27404,165.04000000000002
38124,164.0
31603,163.5
48499,159.0
31228,128.0
38442,122.0
38459,120.0
27245,117.65666666666668
29565,111.0
29614,104.13333333333333
27248,102.0
48465,102.0
38176,102.0
27386,97.55
21702,93.0
38542,93.0
31275,93.0
27252,92.22
21717,91.97999999999999
49843,89.68766666666667
31234,89.61666666666666
27333,88.5
29488,87.72000000000003
49681,86.7
26197,85.60000000000001
21629,85.0
27243,81.9
21220,80.0
26901,77.72
31595,77.72
27721,75.3
21271,75.3
26219,73.19999999999999
27232,72.95666666666666
26605,72.8
38120,70.8
38179,70.8
21643,70.5
49740,69.70666666666666
49577,69.16666666666667
26835,67.60428571428565
49429,66.78
49696,66.67999999999999
37620,66.4
29348,66.4
38368,64.2
49847,63.080000000000005
27211,62.44666666666666
30952,62.0
38165,62.0
31789,60.7
31558,60.22
49777,57.72
28857,56.919999999999995
49828,56.870000000000005
30539,56.366666666666674
30559,55.2
49401,54.462222222222216
31619,53.6
26180,53.239999999999995
27313,53.1
49811,52.300000000000004
49824,51.22
49191,49.5
49134,49.0
27607,48.93000000000001
49356,48.29
31226,47.366666666666674
49451,46.9
30966,46.5
49143,46.46666666666667
49176,45.339999999999996
31535,45.022499999999994
49201,45.0
29699,43.9
21646,43.4
49661,43.29999999999998
31303,40.96
31737,40.03333333333333
29394,38.626666666666665
31157,38.0
37124,38.0
49377,37.85
21279,37.300000000000004
38704,36.3
27356,35.626666666666665
38324,35.6
49419,35.4
38464,35.0
37197,33.6
27616,33.4
31020,33.0
27367,32.8
21644,32.0
37642,32.0
26899,31.0
31515,31.0
49179,30.83333333333334
31135,30.6
49084,30.566666666666666
31860,29.799999999999997
21649,29.75
21435,29.25
49688,29.0
49205,29.0
21789,27.641666666666666
49326,27.066666666666666
37191,25.7
31246,25.2
49448,24.3
48455,23.95
31061,23.7
31621,23.3
38239,23.2
30938,23.159999999999997
27476,22.9
21391,22.7
49744,22.457142857142856
49774,22.1
38518,21.889999999999997
31749,21.65
49626,21.38
49324,19.389999999999997
37120,18.642857142857142
21769,18.552
26441,18.47
48480,18.36
27305,17.316
48488,16.82
49080,16.4
38723,16.367441860465114
49170,15.919999999999998
29643,15.719999999999999
28832,15.5
31039,13.9
37431,13.325
37434,12.8
49832,12.39333333333333
29365,12.0
0,11.9
49624,11.26
49393,11.25
38315,11.149333333333333
27798,11.14
30519,11.099999999999998
30175,11.066666666666668
38173,10.9
29361,10.6
31855,10.6
38104,10.020000000000001
49124,9.25
49424,9.059999999999999
49733,8.41
31812,8.290000000000001
31089,8.0
31636,7.97
37139,7.97
34355,7.97
26817,7.84
37075,7.746666666666667
49413,7.688888888888893
38707,7.086666666666667
29393,7.08
37136,7.08
27389,7.07
49219,6.6
26845,6.31
37186,6.2
31195,5.6
31091,5.6
49565,5.316666666666666
31632,5.090000000000001
49593,5.0
37194,4.87
29640,4.847777777777777
37603,4.81
37639,4.43
29378,4.425000000000001
49635,4.21
38154,4.1
31848,3.88
29633,3.85
26939,3.76
37520,3.63
21385,3.3660000000000005
49456,3.3000000000000003
38471,3.1960000000000006
29587,3.186666666666667
38524,3.125
31840,3.0
29494,2.9714285714285724
30419,2.6500000000000004
38667,2.52
26548,2.5
26571,2.5
38536,2.428
37589,2.216666666666667
26969,1.9899999999999998
37647,1.8
26349,1.77
49434,1.7500000000000002
26465,1.75
29345,1.37
27729,1.33
29358,1.33
31311,1.33
21400,1.1700000000000002
27804,1.105
49716,1.085
26345,1.0466666666666666
26871,0.88
49599,0.8433333333333334
26670,0.75
30890,0.73
27374,0.66
26655,0.64
26409,0.6319999999999998
21436,0.616
26169,0.5616666666666669
49835,0.5433333333333333
21218,0.5
21423,0.5
21256,0.485
27711,0.47000000000000003
29473,0.4671428571428571
21775,0.46
21723,0.46
21710,0.46
49762,0.4533333333333333
31637,0.44000000000000006
28870,0.44000000000000006
49838,0.44
26388,0.44
21379,0.44
49757,0.44
26215,0.44
26160,0.44
26340,0.44
26316,0.44
26188,0.44
49453,0.44
21785,0.44
38551,0.44
27793,0.44
29556,0.44
27777,0.44
27801,0.44
28816,0.44
28865,0.44
29308,0.44
29331,0.44
29459,0.44
29475,0.44
29482,0.44
29484,0.44
29571,0.44
38470,0.44
29578,0.44
29646,0.44
29649,0.44
29664,0.44
29683,0.44
31622,0.44
31604,0.44
31552,0.44
31088,0.44
31547,0.44
27383,0.44
49849,0.44
27327,0.44
26907,0.44
27318,0.44
27299,0.44
49406,0.44
26937,0.44
26919,0.44
26909,0.44
27321,0.44
26683,0.4
26676,0.4
49328,0.4
49699,0.4
49685,0.4
49584,0.4
49163,0.39999999999999997
30173,0.3
30659,0.3
30455,0.3
21272,0.25
26831,0.25
26725,0.22000000000000003
26826,0.22000000000000003
26736,0.22
26759,0.22
26532,0.22
26529,0.22
26632,0.22
26553,0.22
26446,0.22
26487,0.22
26789,0.22
49152,0.1
