postcode,nitrate
27628,181.66666666666666
31603,170.5
48499,142.0
38690,142.0
29614,139.66666666666666
31228,124.0
27245,113.48
49448,111.0
29565,110.0
26835,109.66666666666667
38442,104.13333333333333
49661,102.0
38542,97.7
38368,96.60000000000001
38124,93.0
27252,92.72
21717,92.55
21629,91.39999999999999
49824,91.33000000000001
26219,91.22
48465,88.5
21649,88.0
31234,87.7
21220,86.0
49377,84.22
26197,84.1
27333,84.1
27248,84.1
21702,80.33333333333333
27404,78.0625
26180,77.72
49696,77.4
29488,73.176
49356,70.96
49429,70.9
38120,70.83333333333333
48455,70.8
21435,70.25
38704,70.2
49577,69.68
49740,69.36
49843,68.80354838709678
26605,64.7
38464,64.0
27232,63.95666666666667
49847,62.019999999999996
27721,62.0
30966,62.0
37154,59.325
27211,58.39666666666667
49811,57.86666666666665
27313,57.6
31311,57.6
31275,57.6
49828,57.25
31595,55.72
31619,54.8
49134,54.0
26901,53.22
31558,53.22
38179,53.1
29348,53.1
37620,53.1
31226,51.53333333333333
49191,50.75
38176,49.8
29394,49.12
27607,49.088
28857,48.74666666666667
38165,48.7
49143,45.4
21279,44.98571428571428
31535,42.545
27243,42.269999999999996
49777,42.269999999999996
31303,41.96
49179,41.626666666666665
49838,41.626666666666665
31621,41.5
38324,40.91428571428572
27305,36.056
27476,35.4
21646,34.53333333333333
49774,34.300000000000004
31749,32.9
31860,31.4
49201,31.0
37642,30.5
37197,30.1
49205,29.333333333333332
26899,29.2
31061,29.0
31135,28.5
21391,28.03714285714285
37191,26.1
37434,25.814285714285713
49419,25.2
27386,24.57
38239,23.633333333333336
49326,23.442857142857143
38729,23.425
21400,23.02
27616,22.15
49080,21.8
30938,20.87
29643,19.665
49170,19.560000000000002
27367,19.5
49324,19.46
49626,19.14
37120,18.366666666666667
37127,18.0
31039,17.9
27389,17.72
27798,17.270000000000003
49176,17.0
49424,17.0
38723,16.943589743589747
31246,15.9
26441,15.82
27804,15.5
26817,15.013333333333334
31089,14.8
49624,14.39
49832,14.326666666666666
49328,13.959999999999999
49565,13.912222222222221
38104,13.270000000000001
38315,12.669333333333332
27777,12.6
38154,12.6
37581,12.5
29365,12.4
49413,12.169999999999998
21644,11.5
31812,11.065714285714288
38173,10.6
28832,10.6
21218,10.2
31737,9.9
38707,9.7
31091,9.3
34355,8.85
37075,8.633333333333335
31840,8.6
37139,8.59
0,8.309999999999999
21789,8.001999999999999
37136,7.97
38518,7.956666666666666
21769,7.757142857142857
26845,6.959999999999999
27412,6.2
29393,6.2
37520,5.9366666666666665
37194,5.76
37186,5.53
49733,5.31
31636,5.31
31632,5.090000000000001
31848,4.87
29587,4.87
31655,4.55
26345,4.37
49593,4.3
26571,3.5
29640,3.123333333333333
26969,3.0999999999999996
38524,2.85
38536,2.6550000000000002
38667,2.61
27801,2.21
27729,2.21
37647,2.0
49401,1.8599999999999997
21385,1.8499999999999996
29345,1.7266666666666666
27478,1.64
26548,1.62
49152,1.395
29358,1.33
21775,1.11
26409,1.1066666666666671
26909,1.105
26465,1.0
37589,0.9933333333333333
26169,0.93
49456,0.88
31088,0.66
29646,0.66
38539,0.6
29473,0.5757142857142857
21256,0.56
30890,0.5
21423,0.5
21785,0.48333333333333334
38470,0.47
29571,0.44000000000000006
38471,0.44000000000000006
21379,0.44000000000000006
29578,0.44000000000000006
28870,0.44000000000000006
29556,0.44000000000000006
29459,0.44000000000000006
27318,0.44
29361,0.44
29664,0.44
29331,0.44
26160,0.44
29308,0.44
26188,0.44
21723,0.44
49219,0.44
26203,0.44
26215,0.44
49163,0.44
26316,0.44
29649,0.44
49434,0.44
49406,0.44
28865,0.44
49453,0.44
29378,0.44
49599,0.44
21436,0.44
49635,0.44
29475,0.44
49716,0.44
29482,0.44
29484,0.44
29494,0.44
49744,0.44
49757,0.44
27321,0.44
26340,0.44
26388,0.44
31552,0.44
27327,0.44
27356,0.44
27374,0.44
31637,0.44
26939,0.44
26919,0.44
31622,0.44
26907,0.44
27619,0.44
31604,0.44
26871,0.44
27711,0.44
38551,0.44
29683,0.44
49849,0.44
31547,0.44
27793,0.44
28816,0.44
26655,0.44
30952,0.44
48480,0.44
49835,0.3355555555555556
26446,0.2688888888888889
26725,0.22000000000000003
26487,0.22
26529,0.22
26759,0.22
26553,0.22
21765,0.22
26632,0.22
26736,0.22
26831,0.22
26826,0.22
21710,0.22
