postcode,nitrate
27628,190.0
31603,181.0
48499,151.0
31228,137.0
31303,124.0
29614,115.0
38459,115.0
27245,113.48
31275,111.0
26197,106.0
49681,104.2
38542,102.0
31226,99.7
38442,99.5
31234,98.05999999999999
27356,97.4
38176,93.0
38124,93.0
27333,93.0
21717,92.0
29488,87.72000000000003
49843,87.52633333333333
21702,87.2
49696,83.52000000000001
21640,83.0
29565,82.8
27386,81.7
27404,81.55
27248,79.7
26605,78.1
31595,75.72
38179,75.3
30938,75.1
26219,71.33666666666666
49811,70.8
38120,70.8
27243,70.8
27721,70.8
31311,70.8
26180,68.72
27232,68.51333333333332
49577,68.09999999999998
29348,66.4
38368,66.39999999999999
21279,66.2
30559,65.9
49828,65.79499999999999
49847,64.38
49740,63.79555555555555
30539,63.36666666666667
38165,62.0
31789,56.325
27607,55.279999999999994
26901,53.22
49777,53.22
30966,53.1
27211,52.580000000000005
49134,51.5
49661,48.844444444444434
30952,48.7
49191,47.25
31535,46.72
29699,46.7
49143,45.9
49356,44.626666666666665
31619,44.26
21272,43.489999999999995
49377,43.27
26835,43.11142857142856
21646,42.233333333333334
49201,42.0
49429,41.82222222222222
49176,41.8
49401,41.66454545454545
26899,41.6
29394,41.05142857142857
28857,40.846666666666664
31737,39.0
38704,39.0
31246,37.6
21644,36.8
49451,36.8
31621,36.5
31020,36.099999999999994
38464,36.0
48465,32.76
37197,31.9
49824,30.897777777777794
27313,30.5
49179,30.233333333333338
27367,28.8
49084,28.8
27616,28.75
31061,28.7
49688,28.3
49205,27.333333333333332
26441,27.22
38324,25.90909090909091
49626,25.740000000000002
48455,24.723333333333333
49774,24.15
21391,22.948888888888888
49170,22.32
27476,22.1
37176,21.6
30175,21.1
21789,20.5
38239,19.7
31749,19.3
37191,18.8
49419,18.6
29643,18.369999999999997
37120,18.228571428571428
49080,18.2
38518,17.99
21256,17.833333333333332
49324,17.635
30519,17.2
31840,16.770000000000003
38723,16.67380952380952
49326,16.342857142857145
37539,16.25
37434,15.1
49393,14.25
49832,14.026666666666666
34346,13.666666666666666
49328,13.633333333333335
21271,13.0
49424,12.24
37431,12.0
31135,11.5
29365,11.5
21769,11.239999999999998
37170,11.066666666666668
27305,10.556
26817,10.489090909090908
49448,10.2
31855,9.74
49124,9.633333333333333
31039,9.4
34355,9.3
49219,9.299999999999999
49624,9.231111111111112
49593,8.86
38315,8.235
37075,8.19
31157,7.7
31812,7.593333333333334
49733,7.53
37136,7.53
26845,7.510000000000001
31089,7.4
27412,7.3
29393,7.08
28832,7.08
27389,7.07
38104,7.0200000000000005
31171,6.640000000000001
31632,6.420000000000001
38707,6.420000000000001
49434,6.403999999999999
37139,6.2
0,6.199999999999999
31091,5.8
37186,5.76
31636,5.76
49413,5.703636363636363
37194,5.31
37603,5.1675
37589,4.87
29640,4.153333333333332
38154,4.0
27777,3.986666666666667
49565,3.4166666666666665
38536,3.178
38524,3.12
37520,3.01
26345,2.94
27478,2.83
49456,2.692
38667,2.57
26571,2.5
26548,2.5
31606,2.46
21385,2.335
31655,2.0
37647,2.0
31848,1.77
26670,1.77
37639,1.77
27804,1.77
29587,1.7299999999999998
29494,1.6574999999999995
27798,1.33
30419,1.2000000000000002
29345,1.1700000000000002
26969,1.105
38471,1.058
26465,1.0
49152,0.9999999999999999
21400,0.9266666666666669
27801,0.905
48480,0.885
49599,0.8566666666666668
49835,0.8503333333333334
29378,0.7750000000000001
38470,0.7133333333333334
26169,0.6413333333333335
30890,0.5
49744,0.44000000000000006
28870,0.44000000000000006
21379,0.44000000000000006
31637,0.44000000000000006
26655,0.44
49453,0.44
26909,0.44
26907,0.44
49838,0.44
26340,0.44
26316,0.44
49767,0.44
49762,0.44
48529,0.44
26871,0.44
49757,0.44
26215,0.44
26188,0.44
21436,0.44
26919,0.44
49716,0.44
49406,0.44
26160,0.44
26388,0.44
49849,0.44
26939,0.44
29473,0.44
38551,0.44
29308,0.44
29331,0.44
31552,0.44
29358,0.44
29361,0.44
31547,0.44
31088,0.44
29459,0.44
29475,0.44
28816,0.44
29482,0.44
29484,0.44
29556,0.44
29571,0.44
29574,0.44
29578,0.44
29646,0.44
29649,0.44
29664,0.44
31604,0.44
28865,0.44
27711,0.44
29683,0.44
27793,0.44
27252,0.44
27318,0.44
27374,0.44
27321,0.44
27729,0.44
27327,0.44
31622,0.44
21785,0.4000000000000001
49635,0.4
21723,0.4
21775,0.4
21710,0.4
49685,0.4
49699,0.4
21765,0.4
26683,0.4
49584,0.4
26676,0.4
27619,0.4
49163,0.39999999999999997
30659,0.3
30455,0.3
26789,0.27
26831,0.2625
26725,0.22000000000000003
26826,0.22
26532,0.22
26529,0.22
26759,0.22
26736,0.22
26632,0.22
26409,0.22
26553,0.22
26446,0.22
26487,0.22
30173,0.21
31600,0.06
