postcode,nitrate
27628,195.0
49661,155.0
38442,137.0
38459,137.0
26835,133.8
49824,133.22000000000003
21629,129.0
31603,128.66666666666666
31228,125.0
27404,123.51428571428572
27245,122.48
48499,120.0
49429,106.19999999999999
29614,106.0
38690,102.0
27356,102.0
26197,100.56666666666668
27243,99.85
49811,97.4
48455,97.4
29565,96.5
38176,94.3
31234,93.07499999999999
27252,92.22
29367,90.0
48465,88.5
21702,88.3
26219,86.72
49847,82.525
26180,82.22
49577,82.01333333333334
21717,80.46666666666668
21435,80.25
21643,80.0
27248,79.7
38542,79.1
21220,79.0
49828,76.69999999999999
49843,76.194
29488,75.976
38124,75.3
49740,73.69777777777777
31621,70.0
26605,67.2
27232,67.07499999999999
27721,62.0
38120,60.63333333333333
49377,60.22
27211,59.473333333333336
49696,58.71999999999999
31535,58.68
31311,57.6
27386,57.405
37620,55.333333333333336
31619,54.25
38179,54.0
49777,53.29600000000001
31595,53.22
30966,53.1
49134,51.0
21646,49.1
31558,48.92
38165,48.7
38368,47.79999999999999
28857,47.54666666666666
27607,47.160000000000004
49143,46.4
49179,45.96
30938,45.22
28832,44.3
27476,44.3
31749,44.0
21649,43.75
31737,41.199999999999996
49191,40.25
27432,39.346666666666664
49356,39.22
31303,38.626666666666665
26901,37.76
29394,37.626666666666665
38704,37.6
31226,37.233333333333334
49201,36.0
27313,35.4
31860,31.4
21644,30.1
37642,30.0
21279,29.845454545454547
49205,29.666666666666668
26899,29.2
37197,28.2
37539,28.0
49080,27.0
21391,26.722857142857144
38518,26.213333333333335
37191,26.0
49419,23.5
21769,22.38533333333333
31061,22.0
38729,21.525000000000002
37434,21.25714285714286
37170,21.0
21789,20.799999999999997
27616,20.656666666666666
49413,19.07
29643,19.020000000000003
31167,19.0
49774,18.6
49324,18.270000000000003
37127,18.0
38239,17.96666666666667
37120,17.633333333333336
31073,17.0
49424,16.8
49170,16.44
38723,16.37058823529412
31089,16.0
31039,16.0
49565,15.725714285714286
49624,15.719999999999999
27389,14.62
49176,14.0
49328,13.959999999999999
27367,13.7
49326,13.5
49832,12.68
27798,12.670000000000002
49626,12.399999999999999
26817,11.524444444444445
38315,11.241538461538461
27777,11.069999999999999
0,10.768000000000002
38324,10.4
21218,9.94
31275,9.74
31855,9.3
38707,9.0
31091,9.0
38173,9.0
38536,8.64
29365,8.38
31812,8.193333333333333
26441,7.97
37139,7.97
26845,7.859999999999999
34355,7.7
38154,7.3
37136,7.08
31840,6.7
37186,6.64
31195,6.5
37075,6.2
27412,5.76
21775,5.31
49733,5.31
31636,5.31
31246,5.31
29587,5.27
29393,5.22
31848,4.946666666666666
37194,4.87
37581,4.0
37520,3.46
26969,3.3200000000000003
38524,3.26
26571,3.1
38667,3.01
37603,3.0
49448,2.88
49593,2.66
26345,2.6599999999999997
49835,2.48
27478,2.08
37647,2.0
21436,1.768
29345,1.64
27729,1.59
21785,1.4966666666666668
29640,1.37
31622,1.2433333333333334
27801,1.19
26169,1.1800000000000002
31606,1.0
27259,1.0
26465,1.0
38446,1.0
49152,1.0
38448,1.0
49163,0.885
27804,0.88
49456,0.88
26409,0.8311111111111109
21385,0.798
38471,0.762857142857143
27374,0.75
49401,0.7366666666666667
49406,0.72
49453,0.72
21400,0.5579999999999999
31632,0.505
21256,0.505
21423,0.5
30890,0.5
29473,0.4714285714285714
29571,0.44000000000000006
29459,0.44000000000000006
29578,0.44000000000000006
29494,0.44000000000000006
29556,0.44
27711,0.44
49635,0.44
31604,0.44
49757,0.44
31637,0.44
30952,0.44
27619,0.44
26388,0.44
26340,0.44
26316,0.44
26215,0.44
49599,0.44
26188,0.44
49434,0.44
26160,0.44
29646,0.44
29649,0.44
29664,0.44
49219,0.44
49762,0.44
26655,0.44
21723,0.44
27793,0.44
28816,0.44
27327,0.44
27321,0.44
27318,0.44
28865,0.44
27305,0.44
28870,0.44
29308,0.44
29331,0.44
29358,0.44
38551,0.44
29378,0.44
26939,0.44
26919,0.44
31088,0.44
26907,0.44
26871,0.44
29475,0.44
29482,0.44
31547,0.44
21379,0.44
29484,0.44
31552,0.44
29683,0.44
21272,0.355
26446,0.3300000000000001
26909,0.33
48480,0.33
49838,0.29333333333333333
26725,0.22000000000000003
26826,0.22000000000000003
26632,0.22
26831,0.22
26759,0.22
26736,0.22
49849,0.22
26553,0.22
49744,0.22
26529,0.22
49716,0.22
26487,0.22
21765,0.185
48488,0.1
26548,0.045
26133,0.04
26203,0.03
21710,0.02
